No,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,no_segmen,segmen,hari,volume_lalu_lintas,satuan,tahun
58,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Libur",784.42,smp/jam,2021
59,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Kerja",933.3,smp/jam,2022
60,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Kerja",821.82,smp/jam,2022
61,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Libur",804.09,smp/jam,2022
62,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Libur",784.73,smp/jam,2022
63,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Kerja",1755.12,smp/jam,2023
64,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Kerja",1755.12,smp/jam,2023
65,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Libur",1588.83,smp/jam,2023
66,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Libur",1588.83,smp/jam,2023
67,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Kerja",0,smp/jam,2024
68,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Kerja",0,smp/jam,2024
69,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Libur",0,smp/jam,2024
70,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Libur",0,smp/jam,2024
71,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Kerja",1773,smp/jam,2025
72,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Kerja",1773,smp/jam,2025
73,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Libur",1605,smp/jam,2025
74,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Libur",1605,smp/jam,2025
75,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMANG
  WARUNG JAMBU - SIMPANG NARKOBA (BORR)",HARI KERJA,1180.8,SMP/JAM,2015
